자치구,전체 범죄 발생 건수,전체 범죄 검거 건수,살인 발생 건수,살인 검거 건수,강도 발생 건수,강도 검거 건수,강간강제추행 발생 건수,강간강제추행 검거 건수,절도 발생 건수,절도 검거 건수,폭력 발생 건수,폭력 검거 건수
종로구,3102,3343,9,7,7,9,192,855,1183,944,1711,1528
중구,3411,2323,2,2,5,6,186,128,1642,863,1576,1324
용산구,2969,2056,5,3,6,6,230,186,1111,534,1617,1327
성동구,2362,1774,5,5,3,3,115,98,1016,565,1223,1103
광진구,3601,2511,2,2,4,4,255,224,1664,874,1676,1407
동대문구,3401,2465,10,8,6,5,161,142,1440,713,1784,1597
중랑구,3726,2781,10,9,5,6,183,153,1506,889,2022,1724
성북구,2567,1947,4,4,3,2,142,121,988,580,1430,1240
강북구,2770,2259,9,8,5,4,159,132,780,490,1817,1625
도봉구,2179,1490,-,-,2,2,82,87,861,379,1234,1022
노원구,3743,2581,4,3,3,3,169,148,1404,646,2163,1781
은평구,3390,2531,4,4,4,3,171,145,1371,756,1840,1623
서대문구,2533,1706,3,3,2,1,159,149,1077,524,1292,1029
마포구,3688,2534,9,8,4,3,348,287,1483,679,1844,1557
양천구,3216,2086,5,5,3,3,109,90,1517,718,1582,1270
강서구,4415,3393,10,9,6,5,265,222,1689,1070,2445,2087
구로구,4175,2984,6,6,5,5,197,142,1763,1008,2204,1823
금천구,2598,1966,4,4,7,6,117,93,999,553,1471,1310
영등포구,5217,3371,7,4,6,5,315,252,2188,953,2701,2157
동작구,3200,2086,1,1,1,2,226,121,1341,592,1631,1370
관악구,5261,3858,12,12,3,3,403,351,2229,1137,2614,2355
서초구,4601,3052,5,5,6,4,396,303,2021,960,2173,1780
강남구,7356,5245,6,5,14,11,708,627,2951,1491,3677,3111
송파구,5410,3544,6,6,13,17,287,235,2429,1006,2675,2280
강동구,3788,2662,3,3,15,14,188,167,1640,781,1942,1697
