자치구,성별,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95세 이상+ 
종로구,계,151581,3290,4293,4730,6309,14153,14905,10983,10065,9763,12178,12351,12218,11019,7797,6159,5404,3546,1666,589,163
,남자,73323,1660,2181,2402,3258,6529,7326,5573,5058,4763,6004,5994,6059,5450,3733,2750,2335,1445,586,175,42
,여자,78258,1630,2112,2328,3051,7624,7579,5410,5007,5000,6174,6357,6159,5569,4064,3409,3069,2101,1080,414,121
중구,계,126467,3520,3501,2874,4031,9243,12269,10768,10330,8687,9494,10010,10343,9871,7102,5385,4347,2787,1294,503,108
,남자,60956,1746,1781,1447,1930,4020,6042,5378,5268,4542,4754,4939,5050,4839,3360,2420,1829,1059,392,133,27
,여자,65511,1774,1720,1427,2101,5223,6227,5390,5062,4145,4740,5071,5293,5032,3742,2965,2518,1728,902,370,81
용산구,계,222307,6496,7183,6926,8125,13739,19916,19336,19335,16860,18699,17944,17209,15678,10904,8540,7162,4971,2245,838,201
,남자,107184,3352,3707,3487,4192,6009,9220,9815,9862,8501,9267,8879,8441,7569,5110,3812,3027,1858,792,227,57
,여자,115123,3144,3476,3439,3933,7730,10696,9521,9473,8359,9432,9065,8768,8109,5794,4728,4135,3113,1453,611,144
성동구,계,319475,10995,10819,9256,11771,24254,31057,27860,28037,23161,25076,25208,24814,22266,15151,11495,9103,5640,2488,823,201
,남자,156038,5577,5479,4783,5776,11630,15639,13506,14209,11856,12536,12358,12326,10849,7106,5228,3980,2155,800,199,46
,여자,163437,5418,5340,4473,5995,12624,15418,14354,13828,11305,12540,12850,12488,11417,8045,6267,5123,3485,1688,624,155
광진구,계,357176,9533,11321,11641,13908,28813,39030,31142,28355,25088,28205,28443,27781,25451,17297,12453,9389,5725,2524,860,217
,남자,172660,4918,5820,6029,7001,13044,18838,15409,14199,12565,13879,13641,13468,12103,8159,5754,4322,2391,847,222,51
,여자,184516,4615,5501,5612,6907,15769,20192,15733,14156,12523,14326,14802,14313,13348,9138,6699,5067,3334,1677,638,166
동대문구,계,355917,10117,11247,10616,13093,31926,36315,26611,26949,24223,26787,26789,26911,25980,19295,15091,12226,7308,3209,980,244
,남자,174965,5222,5740,5471,6532,14329,18687,13816,13955,12540,13693,13375,13270,12494,9148,6874,5412,3009,1083,261,54
,여자,180952,4895,5507,5145,6561,17597,17628,12795,12994,11683,13094,13414,13641,13486,10147,8217,6814,4299,2126,719,190
중랑구,계,384950,10913,12432,11890,14756,23586,30942,28280,29412,26551,30201,33264,35119,32488,23046,17285,12920,7431,3151,1025,258
,남자,189538,5593,6433,6072,7522,11885,15284,14266,15243,13859,15143,16153,17217,15725,11031,8009,5773,3058,1000,221,51
,여자,195412,5320,5999,5818,7234,11701,15658,14014,14169,12692,15058,17111,17902,16763,12015,9276,7147,4373,2151,804,207
성북구,계,437443,12391,16220,16407,19766,39155,39670,28660,31203,30779,37417,34495,32228,30149,21763,17815,14526,9152,3995,1337,315
,남자,209627,6348,8351,8470,9950,17062,19684,14337,15543,15141,18376,17053,15457,14255,10066,7799,6297,3656,1366,341,75
,여자,227816,6043,7869,7937,9816,22093,19986,14323,15660,15638,19041,17442,16771,15894,11697,10016,8229,5496,2629,996,240
강북구,계,301489,7092,9066,9633,12217,19982,22828,18532,20457,20613,25083,25469,25837,24974,18961,15841,13163,7549,2947,1005,240
,남자,145628,3599,4655,4936,6256,9250,11318,9587,10751,10537,12638,12317,12458,11747,8548,6871,5752,3093,1021,246,48
,여자,155861,3493,4411,4697,5961,10732,11510,8945,9706,10076,12445,13152,13379,13227,10413,8970,7411,4456,1926,759,192
도봉구,계,321875,8396,10884,11264,14328,20950,22681,19165,22006,21462,26778,28100,28264,28014,19717,14983,12194,7615,3532,1244,298
,남자,156070,4331,5596,5828,7394,10252,11260,9725,11265,10747,13016,13347,13443,13264,9553,6980,5484,3051,1145,330,59
,여자,165805,4065,5288,5436,6934,10698,11421,9440,10741,10715,13762,14753,14821,14750,10164,8003,6710,4564,2387,914,239
노원구,계,517866,13854,19363,23358,29616,40252,36659,29554,34232,37389,48063,45317,41131,38034,27190,20355,16051,10456,4958,1633,401
,남자,250093,7101,10037,12146,15302,20143,18982,14809,16977,17922,22880,22102,19701,17650,12735,9056,6652,3897,1523,394,84
,여자,267773,6753,9326,11212,14314,20109,17677,14745,17255,19467,25183,23215,21430,20384,14455,11299,9399,6559,3435,1239,317
