자치구,행정구역면적,시가화면적,시가화면적비율
서울시,605.24,12.77,53.39
종로구,23.91,9.95,99.89
중구,9.96,13.37,61.14
용산구,21.87,12.47,73.98
성동구,16.86,11.8,69.16
광진구,17.06,13.86,97.52
동대문구,14.22,11.18,60.44
중랑구,18.5,18.23,74.17
성북구,24.57,11.25,47.67
강북구,23.6,9.84,47.61
도봉구,20.66,14.57,41.11
노원구,35.44,15.89,53.47
은평구,29.71,15.72,89.2
서대문구,17.63,14.33,60.09
마포구,23.85,13.43,77.14
양천구,17.41,18.96,45.76
강서구,41.44,14.98,74.45
구로구,20.12,10.12,77.7
금천구,13.02,15.65,63.74
영등포구,24.55,14.14,86.44
동작구,16.35,15.72,53.16
관악구,29.57,20.21,43.01
서초구,46.98,26.17,66.26
강남구,39.5,23.3,68.79
송파구,33.87,13.65,55.49
강동구,24.59,,
